Year AD,Temperature (deg C anomaly wrt 1961-1990),2 sigma unc. low,2 sigma unc. high,,Bin Center (AD),Temperature (deg C anomaly wrt 1961-1990),,Bin Center (AD),Temperature (deg C anomaly wrt 1961-1990)
1216,-0.46,-1.02,0.28,,,,,,
1217,0.16,-0.73,1.16,,,,,,
1218,-0.29,-0.99,0.52,,,,,,
1219,-0.33,-1.12,0.63,,,,,,
1220,-0.15,-0.93,0.74,,,,,,
1221,0.23,-0.67,1.21,,,,,,
1222,-0.05,-0.71,0.68,,,,,,
1223,-0.07,-0.80,0.72,,,,,,
1224,0.40,-0.49,1.37,,,,,,
1225,0.11,-0.67,0.89,,,,,,
1226,-0.27,-0.97,0.59,,,,,,
1227,-0.18,-0.98,0.78,,,,,,
1228,-0.25,-1.01,0.60,,,,,,
1229,-0.85,-1.67,0.06,,,,,,
1230,-0.37,-1.02,0.39,,,,,,
1231,-0.37,-1.19,0.61,,,,,,
1232,-0.58,-1.28,0.33,,,,,,
1233,-0.59,-1.33,0.37,,,,,,
1234,-0.45,-1.33,0.62,,,,,,
1235,-0.48,-1.16,0.28,,,,,,
1236,-0.97,-1.54,-0.20,,,,,,
1237,0.03,-0.77,0.89,,,,,,
1238,-0.42,-1.09,0.51,,,,,,
1239,-0.57,-1.28,0.33,,,,,,
1240,-0.14,-0.77,0.66,,,,,,
1241,-0.11,-0.93,0.91,,,,,,
1242,-0.23,-1.00,0.70,,,,,,
1243,-0.49,-1.30,0.59,,,,,,
1244,-0.24,-0.82,0.65,,,,,,
1245,-0.76,-1.40,0.02,,,,,,
1246,-0.27,-1.12,0.75,,,,,,
1247,-0.86,-1.53,0.01,,,,,,
1248,-0.67,-1.26,-0.03,,,,,,
1249,-0.25,-0.96,0.54,,,,,,
1250,0.21,-0.59,0.98,,,,,,
1251,-0.21,-0.93,0.57,,,,,,
1252,-1.32,-1.93,-0.50,,,,,,
1253,-0.30,-1.14,0.45,,,,,,
1254,-0.18,-0.86,0.53,,,,,,
1255,-0.13,-0.79,0.53,,,,,,
1256,-0.96,-1.51,-0.32,,,,,,
1257,0.47,-0.27,1.11,,,,,,
1258,-0.41,-1.22,0.41,,,,,,
1259,-1.15,-1.70,-0.35,,,,,,
1260,-1.09,-1.72,-0.29,,,,,,
1261,-0.79,-1.40,0.15,,,,,,
1262,-1.17,-1.81,-0.38,,,,,,
1263,-1.41,-2.06,-0.43,,,,,,
1264,-0.96,-1.53,-0.25,,,,,,
1265,-0.65,-1.41,0.11,,,,,,
1266,-0.96,-1.60,-0.25,,,,,,
1267,-1.06,-1.54,-0.42,,,,,,
1268,-0.44,-1.04,0.21,,,,,,
1269,-0.29,-1.08,0.57,,,,,,
1270,-0.71,-1.46,0.18,,,,,,
1271,-1.21,-1.86,-0.42,,,,,,
1272,-0.59,-1.42,0.41,,,,,,
1273,-0.78,-1.42,0.10,,,,,,
1274,-0.98,-1.84,0.06,,,,,,
1275,-0.51,-1.42,0.42,,,,,,
1276,-0.89,-1.56,-0.15,,,,,,
1277,-0.63,-1.25,0.14,,,,,,
1278,-0.87,-1.52,-0.11,,,,,,
1279,-0.94,-1.49,-0.27,,,,,,
1280,-1.05,-1.56,-0.42,,,,,,
1281,-0.67,-1.27,0.14,,,,,,
1282,-0.85,-1.51,0.05,,,,,,
1283,-0.45,-1.22,0.32,,,,,,
1284,-1.14,-1.67,-0.57,,,,,,
1285,-0.81,-1.40,-0.05,,,,,,
1286,-0.70,-1.41,0.10,,,,,,
1287,-0.40,-1.12,0.36,,,,,,
1288,0.00,-0.78,0.98,,,,,,
1289,-0.84,-1.58,0.06,,,,,,
1290,-0.93,-1.57,-0.10,,,,,,
1291,-0.76,-1.43,0.14,,,,,,
1292,-0.29,-1.07,0.50,,,,,,
1293,-0.98,-1.70,0.02,,,,,,
1294,-0.93,-1.58,-0.06,,,,,,
1295,-1.03,-1.78,-0.21,,,,,,
1296,-0.96,-1.60,-0.11,,,,,,
1297,-0.55,-1.30,0.40,,,,,,
1298,-0.46,-1.28,0.49,,,,,,
1299,-0.51,-1.19,0.22,,,,,,
1300,-1.25,-1.97,-0.46,,,,,,
1301,-0.51,-1.09,0.15,,,,,,
1302,-0.99,-1.66,-0.24,,,,,,
1303,-0.79,-1.44,-0.14,,,,,,
1304,-1.00,-1.54,-0.44,,,,,,
1305,-0.45,-1.18,0.19,,,,,,
1306,-0.58,-1.25,0.10,,,,,,
1307,-0.18,-0.93,0.48,,,,,,
1308,-0.47,-1.27,0.31,,,,,,
1309,-0.80,-1.53,-0.04,,,,,,
1310,-0.75,-1.39,-0.10,,,,,,
1311,-0.22,-0.88,0.50,,,,,,
1312,-0.94,-1.55,-0.13,,,,,,
1313,-1.21,-1.84,-0.52,,,,,,
1314,-0.83,-1.51,0.04,,,,,,
1315,-0.54,-1.25,0.17,,,,,,
1316,-0.70,-1.40,0.06,,,,,,
1317,-1.59,-2.26,-0.81,,,,,,
1318,-1.07,-1.65,-0.38,,,,,,
1319,-1.35,-1.87,-0.69,,,,,,
1320,-1.45,-2.19,-0.55,,,,,,
1321,-0.90,-1.45,-0.30,,,,,,
1322,-1.30,-1.86,-0.69,,,,,,
1323,-0.65,-1.39,0.18,,,,,,
1324,-0.61,-1.34,0.11,,,,,,
1325,-0.56,-1.24,0.12,,,,,,
1326,-0.49,-1.16,0.22,,,,,,
1327,-0.35,-1.12,0.52,,,,,,
1328,-1.23,-1.85,-0.52,,,,,,
1329,-0.79,-1.42,-0.11,,,,,,
1330,-1.53,-2.14,-0.76,,,,,,
1331,-0.92,-1.66,-0.02,,,,,,
1332,-1.24,-1.87,-0.43,,,,,,
1333,-1.01,-1.64,-0.24,,,,,,
1334,-0.74,-1.47,0.09,,,,,,
1335,-0.99,-1.64,-0.14,,,,,,
1336,-1.06,-1.80,-0.33,,,,,,
1337,-1.20,-1.86,-0.40,,,,,,
1338,-1.64,-2.26,-0.79,,,,,,
1339,-0.72,-1.43,-0.03,,,,,,
1340,-0.71,-1.63,0.26,,,,,,
1341,-0.71,-1.43,0.08,,,,,,
1342,-0.86,-1.60,-0.02,,,,,,
1343,-0.35,-1.15,0.63,,,,,,
1344,-0.88,-1.62,0.17,,,,,,
1345,-1.64,-2.29,-0.75,,,,,,
1346,-1.41,-2.27,-0.45,,,,,,
1347,-0.92,-1.74,-0.02,,,,,,
1348,-1.36,-2.05,-0.46,,,,,,
1349,-1.31,-1.94,-0.57,,,,,,
1350,-1.40,-2.06,-0.54,,,,,,
1351,-0.34,-0.95,0.36,,,,,,
1352,-1.05,-1.64,-0.46,,,,,,
1353,-1.22,-1.80,-0.54,,,,,,
1354,-1.24,-1.75,-0.62,,,,,,
1355,-0.54,-1.19,0.05,,,,,,
1356,-1.00,-1.77,-0.17,,,,,,
1357,-0.75,-1.29,-0.14,,,,,,
1358,-0.95,-1.70,-0.18,,,,,,
1359,-0.87,-1.43,-0.31,,,,,,
1360,-0.58,-1.20,0.11,,,,,,
1361,-0.89,-1.61,-0.10,,,,,,
1362,-0.79,-1.45,-0.05,,,,,,
1363,-1.48,-2.12,-0.71,,,,,,
1364,-0.95,-1.75,-0.05,,,,,,
1365,-0.66,-1.38,0.02,,,,,,
1366,-0.37,-0.89,0.10,,,,,,
1367,-0.18,-0.91,0.63,,,,,,
1368,-0.69,-1.48,0.03,,,,,,
1369,-0.76,-1.42,0.04,,,,,,
1370,-0.36,-1.12,0.55,,,,,,
1371,-0.99,-1.51,-0.38,,,,,,
1372,-1.14,-1.78,-0.33,,,,,,
1373,-0.77,-1.38,-0.15,,,,,,
1374,-0.48,-1.30,0.39,,,,,,
1375,-1.00,-1.64,-0.25,,,,,,
1376,-0.87,-1.56,-0.11,,,,,,
1377,-1.32,-2.09,-0.56,,,,,,
1378,-0.94,-1.71,-0.25,,,,,,
1379,-0.84,-1.47,-0.10,,,,,,
1380,-1.08,-1.70,-0.34,,,,,,
1381,-1.48,-2.18,-0.70,,,,,,
1382,-1.39,-1.94,-0.73,,,,,,
1383,-0.96,-1.67,-0.20,,,,,,
1384,-0.84,-1.53,-0.13,,,,,,
1385,-1.13,-1.79,-0.41,,,,,,
1386,-1.10,-1.80,-0.36,,,,,,
1387,-1.07,-1.70,-0.34,,,,,,
1388,-0.95,-1.56,-0.20,,,,,,
1389,-0.71,-1.46,0.12,,,,,,
1390,-0.62,-1.20,0.03,,,,,,
1391,-0.44,-1.20,0.24,,,,,,
1392,-1.19,-1.71,-0.55,,,,,,
1393,-1.11,-1.72,-0.30,,,,,,
1394,-0.84,-1.40,-0.15,,,,,,
1395,-0.64,-1.32,0.35,,,,,,
1396,-0.21,-0.99,0.63,,,,,,
1397,-0.32,-0.96,0.40,,,,,,
1398,-0.96,-1.52,-0.32,,,,,,
1399,-0.97,-1.59,-0.28,,,,,,
1400,-1.23,-1.88,-0.50,,,,,,
1401,-1.23,-1.88,-0.47,,,,,,
1402,-1.49,-2.07,-0.78,,,,,,
1403,-0.21,-0.94,0.56,,,,,,
1404,-0.71,-1.31,-0.08,,,,,,
1405,-0.64,-1.38,0.04,,,,,,
1406,-0.24,-0.93,0.40,,,,,,
1407,-0.83,-1.54,-0.11,,,,,,
1408,-0.46,-1.16,0.31,,,,,,
1409,-0.82,-1.53,-0.06,,,,,,
1410,-0.53,-1.19,0.15,,,,,,
1411,-0.11,-0.79,0.59,,,,,,
1412,-0.71,-1.31,0.02,,,,,,
1413,-0.45,-1.09,0.16,,,,,,
1414,-0.57,-1.24,0.08,,,,,,
1415,-0.54,-1.18,0.24,,,,,,
1416,-0.85,-1.60,-0.05,,,,,,
1417,-0.60,-1.34,0.19,,,,,,
1418,-0.16,-0.92,0.56,,,,,,
1419,0.06,-0.63,0.72,,,,,,
1420,-0.21,-0.91,0.46,,,,,,
1421,-0.39,-0.95,0.29,,,,,,
1422,-0.83,-1.32,-0.25,,,,,,
1423,-0.77,-1.37,-0.10,,,,,,
1424,-0.11,-0.58,0.32,,,,,,
1425,-0.14,-0.88,0.49,,,,,,
1426,-0.77,-1.49,-0.01,,,,,,
1427,-0.29,-0.90,0.26,,,,,,
1428,-0.70,-1.36,0.00,,,,,,
1429,-0.62,-1.13,-0.10,,,,,,
1430,-0.17,-0.84,0.38,,,,,,
1431,-0.28,-0.94,0.35,,,,,,
1432,-0.29,-0.92,0.32,,,,,,
1433,-0.63,-1.34,0.12,,,,,,
1434,-0.57,-1.37,0.20,,,,,,
1435,-0.22,-0.88,0.40,,,,,,
1436,-0.62,-1.24,-0.13,,,,,,
1437,-0.21,-0.95,0.42,,,,,,
1438,-0.34,-1.00,0.20,,,,,,
1439,-0.28,-0.99,0.30,,,,,,
1440,-0.40,-1.14,0.30,,,,,,
1441,-1.02,-1.64,-0.36,,,,,,
1442,-0.28,-1.00,0.32,,,,,,
1443,-0.62,-1.30,0.05,,,,,,
1444,-0.62,-1.30,-0.07,,,,,,
1445,0.00,-0.71,0.62,,,,,,
1446,-0.85,-1.40,-0.21,,,,,,
1447,-0.29,-0.84,0.27,,,,,,
1448,-1.09,-1.68,-0.37,,,,,,
1449,-1.11,-1.61,-0.53,,,,,,
1450,-0.68,-1.27,0.02,,,,,,
1451,-0.57,-1.14,0.04,,,,,,
1452,-0.90,-1.48,-0.22,,,,,,
1453,-1.51,-2.05,-0.84,,,,,,
1454,-1.34,-1.92,-0.62,,,,,,
1455,-1.66,-2.20,-0.91,,,,,,
1456,-1.59,-2.15,-0.72,,,,,,
1457,-0.85,-1.51,-0.06,,,,,,
1458,-1.06,-1.61,-0.41,,,,,,
1459,-1.02,-1.56,-0.34,,,,,,
1460,-1.39,-1.84,-0.74,,,,,,
1461,-1.20,-1.77,-0.53,,,,,,
1462,-0.93,-1.65,-0.18,,,,,,
1463,-1.10,-1.66,-0.46,,,,,,
1464,-0.70,-1.28,0.07,,,,,,
1465,-0.76,-1.40,0.05,,,,,,
1466,-1.63,-2.33,-0.73,,,,,,
1467,-1.56,-2.07,-0.91,,,,,,
1468,-1.17,-1.81,-0.46,,,,,,
1469,-1.05,-1.66,-0.33,,,,,,
1470,-0.43,-1.16,0.29,,,,,,
1471,-0.95,-1.63,-0.25,,,,,,
1472,-1.35,-1.98,-0.69,,,,,,
1473,-1.33,-1.99,-0.58,,,,,,
1474,-1.19,-1.84,-0.46,,,,,,
1475,-0.78,-1.62,0.04,,,,,,
1476,-0.66,-1.31,0.07,,,,,,
1477,-1.21,-1.71,-0.44,,,,,,
1478,-1.00,-1.61,-0.28,,,,,,
1479,-0.65,-1.34,0.00,,,,,,
1480,-0.85,-1.49,-0.15,,,,,,
1481,-1.35,-1.90,-0.62,,,,,,
1482,-1.20,-1.78,-0.48,,,,,,
1483,-1.56,-1.92,-1.01,,,,,,
1484,-1.32,-1.75,-0.71,,,,,,
1485,-1.12,-1.71,-0.50,,,,,,
1486,-1.48,-1.95,-0.90,,,,,,
1487,-1.18,-1.76,-0.62,,,,,,
1488,-0.90,-1.61,-0.17,,,,,,
1489,-0.43,-1.13,0.29,,,,,,
1490,-0.57,-1.27,0.10,,,,,,
1491,-0.40,-1.02,0.14,,,,,,
1492,-0.84,-1.33,-0.32,,,,,,
1493,-0.61,-1.08,-0.12,,,,,,
1494,-0.56,-1.19,0.06,,,,,,
1495,-0.28,-0.98,0.31,,,,,,
1496,-0.16,-0.77,0.43,,,,,,
1497,-0.37,-1.02,0.25,,,,,,
1498,-0.81,-1.40,-0.22,,,,,,
1499,-0.72,-1.25,-0.21,,,,,,
1500,-0.83,-1.34,-0.28,,,,,,
1501,-0.11,-0.71,0.46,,,,,,
1502,-1.13,-1.71,-0.51,,,,,,
1503,-0.77,-1.27,-0.21,,,,,,
1504,-0.21,-0.87,0.36,,,,,,
1505,-0.47,-0.99,0.01,,,,,,
1506,-0.53,-1.19,0.04,,,,,,
1507,-0.18,-0.91,0.41,,,,,,
1508,-0.44,-1.04,0.24,,,,,,
1509,-0.78,-1.43,-0.09,,,,,,
1510,-0.59,-1.26,0.12,,,,,,
1511,-1.01,-1.62,-0.40,,,,,,
1512,-0.61,-1.22,-0.06,,,,,,
1513,-0.77,-1.44,-0.05,,,,,,
1514,-0.90,-1.51,-0.25,,,,,,
1515,-0.46,-1.26,0.37,,,,,,
1516,-1.45,-1.97,-0.74,,,,,,
1517,-0.91,-1.70,-0.20,,,,,,
1518,-1.14,-1.89,-0.51,,,,,,
1519,-1.11,-1.74,-0.48,,,,,,
1520,-1.06,-1.72,-0.37,,,,,,
1521,-1.23,-1.88,-0.47,,,,,,
1522,-1.33,-1.92,-0.69,,,,,,
1523,-0.87,-1.51,-0.18,,,,,,
1524,-1.33,-1.84,-0.35,,,,,,
1525,-0.87,-1.46,0.05,,,,,,
1526,-1.29,-1.79,-0.65,,,,,,
1527,-1.24,-1.76,-0.60,,,,,,
1528,-1.36,-1.84,-0.71,,,,,,
1529,-1.53,-2.03,-0.77,,,,,,
1530,-0.64,-1.30,0.11,,,,,,
1531,-1.14,-1.77,-0.35,,,,,,
1532,-0.55,-1.21,0.18,,,,,,
1533,-0.70,-1.44,-0.02,,,,,,
1534,-1.28,-1.83,-0.65,,,,,,
1535,-1.15,-1.67,-0.45,,,,,,
1536,-1.29,-1.76,-0.70,,,,,,
1537,-0.21,-0.84,0.41,,,,,,
1538,-0.20,-0.80,0.25,,,,,,
1539,-0.18,-0.70,0.25,,,,,,
1540,-0.62,-1.25,0.04,,,,,,
1541,-0.32,-1.05,0.39,,,,,,
1542,-1.04,-1.67,-0.44,,,,,,
1543,-1.00,-1.55,-0.39,,,,,,
1544,-0.96,-1.46,-0.34,,,,,,
1545,-1.16,-1.71,-0.60,,,,,,
1546,-0.74,-1.41,-0.11,,,,,,
1547,-0.91,-1.61,-0.24,,,,,,
1548,-0.09,-0.70,0.49,,,,,,
1549,-0.27,-0.85,0.27,,,,,,
1550,-0.46,-1.03,0.17,,,,,,
1551,-0.07,-0.62,0.47,,,,,,
1552,-0.20,-0.90,0.46,,,,,,
1553,0.22,-0.35,0.73,,,,,,
1554,-0.54,-1.13,0.06,,,,,,
1555,-0.95,-1.67,-0.21,,,,,,
1556,-0.69,-1.25,-0.03,,,,,,
1557,-0.71,-1.28,-0.13,,,,,,
1558,-0.25,-0.93,0.43,,,,,,
1559,-0.32,-0.82,0.27,,,,,,
1560,-0.53,-1.20,0.11,,,,,,
1561,-0.91,-1.46,-0.28,,,,,,
1562,-0.06,-0.70,0.61,,,,,,
1563,-0.14,-0.71,0.43,,,,,,
1564,-0.53,-1.11,-0.01,,,,,,
1565,-0.30,-0.91,0.29,,,,,,
1566,-0.43,-1.06,0.21,,,,,,
1567,-1.03,-1.70,-0.38,,,,,,
1568,-0.87,-1.67,-0.04,,,,,,
1569,0.00,-0.67,0.67,,,,,,
1570,0.00,-0.73,0.72,,,,,,
1571,-1.07,-1.66,-0.38,,,,,,
1572,-1.26,-1.79,-0.65,,,,,,
1573,-0.51,-1.09,0.16,,,,,,
1574,-0.89,-1.57,-0.04,,,,,,
1575,-0.53,-1.22,0.14,,,,,,
1576,-1.24,-1.91,-0.42,,,,,,
1577,-0.50,-1.19,0.22,,,,,,
1578,-0.97,-1.72,-0.03,,,,,,
1579,-0.87,-1.56,-0.09,,,,,,
1580,-1.22,-1.86,-0.47,,,,,,
1581,-1.09,-1.60,-0.40,,,,,,
1582,-0.35,-1.05,0.47,,,,,,
1583,-0.42,-1.18,0.25,,,,,,
1584,-0.71,-1.32,-0.16,,,,,,
1585,-0.37,-1.17,0.33,,,,,,
1586,-0.13,-0.86,0.76,,,,,,
1587,-0.51,-1.28,0.25,,,,,,
1588,-0.78,-1.52,-0.11,,,,,,
1589,-1.32,-2.02,-0.57,,,,,,
1590,-1.11,-1.75,-0.43,,,,,,
1591,-1.51,-2.26,-0.73,,,,,,
1592,-1.10,-1.73,-0.43,,,,,,
1593,-1.63,-2.21,-0.93,,,,,,
1594,-0.60,-1.20,0.01,,,,,,
1595,-0.33,-1.03,0.27,,,,,,
1596,-0.74,-1.33,-0.06,,,,,,
1597,-1.09,-1.65,-0.44,,,,,,
1598,-1.40,-1.93,-0.82,,,,,,
1599,-0.98,-1.43,-0.45,,,,,,
1600,-0.47,-1.21,0.21,,,,,,
1601,-1.18,-1.88,-0.45,,,,,,
1602,-1.65,-2.30,-0.94,,,,,,
1603,-0.66,-1.36,0.02,,,,,,
1604,-0.86,-1.61,-0.06,,,,,,
1605,-1.48,-2.10,-0.66,,,,,,
1606,-1.45,-1.94,-0.79,,,,,,
1607,-2.03,-2.75,-1.26,,,,,,
1608,-1.33,-1.96,-0.50,,,,,,
1609,-1.28,-1.93,-0.39,,,,,,
1610,-1.14,-1.70,-0.40,,,,,,
1611,-0.95,-1.47,-0.38,,,,,,
1612,-1.23,-1.78,-0.38,,,,,,
1613,-0.75,-1.35,-0.10,,,,,,
1614,-1.30,-1.93,-0.43,,,,,,
1615,-0.99,-1.69,-0.07,,,,,,
1616,-0.48,-1.07,0.11,,,,,,
1617,-0.72,-1.22,-0.09,,,,,,
1618,-0.77,-1.43,0.01,,,,,,
1619,-0.97,-1.63,-0.25,,,,,,
1620,-1.19,-1.83,-0.52,,,,,,
1621,-1.07,-1.46,-0.51,,,,,,
1622,-1.29,-1.82,-0.61,,,,,,
1623,-1.21,-1.77,-0.41,,,,,,
1624,-1.07,-1.66,-0.34,,,,,,
1625,-1.24,-1.86,-0.51,,,,,,
1626,-0.78,-1.38,-0.14,,,,,,
1627,-1.06,-1.75,-0.25,,,,,,
1628,-1.45,-2.01,-0.72,,,,,,
1629,-0.92,-1.50,-0.33,,,,,,
1630,-0.88,-1.42,-0.08,,,,,,
1631,-1.73,-2.27,-1.03,,,,,,
1632,-1.33,-1.77,-0.72,,,,,,
1633,-1.82,-2.32,-1.04,,,,,,
1634,-2.03,-2.40,-1.42,,,,,,
1635,-1.43,-2.04,-0.69,,,,,,
1636,-1.07,-1.73,-0.37,,,,,,
1637,-0.92,-1.54,-0.30,,,,,,
1638,-1.50,-2.03,-0.86,,,,,,
1639,-1.17,-1.82,-0.41,,,,,,
1640,-1.03,-1.61,-0.32,,,,,,
1641,-0.95,-1.65,-0.18,,,,,,
1642,-0.96,-1.85,0.04,,,,,,
1643,-0.79,-1.49,0.18,,,,,,
1644,-1.36,-2.04,-0.58,,,,,,
1645,-1.37,-1.91,-0.59,,,,,,
1646,-1.33,-1.87,-0.57,,,,,,
1647,-1.15,-1.76,-0.39,,,,,,
1648,-1.26,-1.97,-0.31,,,,,,
1649,-0.85,-1.49,-0.01,,,,,,
1650,-1.31,-1.98,-0.52,,,,,,
1651,-1.80,-2.32,-1.10,,,,,,
1652,-1.36,-1.89,-0.68,,,,,,
1653,-1.32,-1.77,-0.80,,,,,,
1654,-0.56,-1.09,0.03,,,,,,
1655,-0.63,-1.25,0.08,,,,,,
1656,-0.90,-1.63,-0.20,,,,,,
1657,-0.79,-1.48,-0.07,,,,,,
1658,-0.67,-1.33,-0.04,,,,,,
1659,-0.68,-1.35,0.15,,,,,,
1660,-0.71,-1.43,0.01,,,,,,
1661,-1.18,-1.77,-0.50,,,,,,
1662,-0.98,-1.70,-0.19,,,,,,
1663,-0.90,-1.52,-0.25,,,,,,
1664,-0.40,-1.00,0.22,,,,,,
1665,-0.27,-0.81,0.25,,,,,,
1666,-1.03,-1.59,-0.39,,,,,,
1667,-0.91,-1.61,-0.04,,,,,,
1668,-1.34,-1.91,-0.68,,,,,,
1669,-1.15,-1.63,-0.49,,,,,,
1670,-1.27,-1.90,-0.54,,,,,,
1671,-1.26,-1.85,-0.66,,,,,,
1672,-0.74,-1.30,-0.17,,,,,,
1673,-0.78,-1.31,-0.07,,,,,,
1674,-0.88,-1.62,0.03,,,,,,
1675,-0.92,-1.69,-0.01,,,,,,
1676,-1.28,-1.89,-0.51,,,,,,
1677,-1.67,-2.20,-1.06,,,,,,
1678,-1.44,-1.97,-0.78,,,,,,
1679,-1.36,-1.98,-0.61,,,,,,
1680,-1.76,-2.45,-0.84,,,,,,
1681,-1.26,-1.81,-0.45,,,,,,
1682,-1.60,-2.09,-0.86,,,,,,
1683,-1.42,-1.92,-0.75,,,,,,
1684,-0.97,-1.74,0.03,,,,,,
1685,-1.10,-1.68,-0.29,,,,,,
1686,-1.40,-1.91,-0.61,,,,,,
1687,-0.95,-1.59,-0.24,,,,,,
1688,-1.45,-2.07,-0.69,,,,,,
1689,-1.08,-1.67,-0.26,,,,,,
1690,-1.15,-1.69,-0.46,,,,,,
1691,-1.35,-1.92,-0.64,,,,,,
1692,-0.84,-1.51,-0.09,,,,,,
1693,-1.04,-1.53,-0.48,,,,,,
1694,-1.09,-1.60,-0.46,,,,,,
1695,-0.89,-1.63,-0.01,,,,,,
1696,-1.37,-1.96,-0.54,,,,,,
1697,-1.45,-2.02,-0.65,,,,,,
1698,-1.74,-2.18,-1.09,,,,,,
1699,-1.72,-2.33,-0.93,,,,,,
1700,-1.50,-1.99,-0.71,,,,,,
1701,-1.53,-2.11,-0.78,,,,,,
1702,-1.23,-1.86,-0.55,,,,,,
1703,-0.81,-1.52,0.05,,,,,,
1704,-0.65,-1.43,0.24,,,,,,
1705,-1.69,-2.16,-1.11,,,,,,
1706,-1.43,-1.97,-0.71,,,,,,
1707,-1.09,-1.64,-0.42,,,,,,
1708,-0.97,-1.52,-0.13,,,,,,
1709,-1.08,-1.69,-0.31,,,,,,
1710,-0.56,-1.20,0.14,,,,,,
1711,-0.84,-1.49,-0.17,,,,,,
1712,-0.72,-1.27,-0.07,,,,,,
1713,-0.82,-1.35,-0.08,,,,,,
1714,-1.49,-2.03,-0.76,,,,,,
1715,-0.51,-1.26,0.41,,,,,,
1716,-0.69,-1.35,0.18,,,,,,
1717,-0.76,-1.44,0.09,,,,,,
1718,-1.71,-2.19,-1.05,,,,,,
1719,-1.34,-1.85,-0.72,,,,,,
1720,-1.13,-1.68,-0.32,,,,,,
1721,-1.32,-1.88,-0.65,,,,,,
1722,-1.03,-1.69,-0.32,,,,,,
1723,-1.60,-2.19,-0.88,,,,,,
1724,-1.06,-1.69,-0.32,,,,,,
1725,-0.87,-1.38,-0.24,,,,,,
1726,-0.65,-1.23,0.01,,,,,,
1727,-0.61,-1.19,0.01,,,,,,
1728,-1.13,-1.64,-0.48,,,,,,
1729,-0.24,-0.82,0.37,,,,,,
1730,-0.31,-0.99,0.50,,,,,,
1731,-0.40,-0.98,0.22,,,,,,
1732,-0.77,-1.48,0.08,,,,,,
1733,-0.99,-1.59,-0.37,,,,,,
1734,-1.34,-1.86,-0.62,,,,,,
1735,-1.98,-2.37,-1.41,,,,,,
1736,-0.95,-1.56,-0.24,,,,,,
1737,-1.45,-2.00,-0.71,,,,,,
1738,-1.17,-1.80,-0.45,,,,,,
1739,-0.56,-1.20,0.14,,,,,,
1740,-0.74,-1.43,0.01,,,,,,
1741,-1.36,-2.05,-0.46,,,,,,
1742,-1.72,-2.17,-1.15,,,,,,
1743,-1.40,-1.95,-0.67,,,,,,
1744,-1.61,-2.10,-1.00,,,,,,
1745,-1.63,-2.17,-0.79,,,,,,
1746,-1.74,-2.32,-0.99,,,,,,
1747,-1.49,-2.07,-0.63,,,,,,
1748,-0.91,-1.56,-0.16,,,,,,
1749,-0.93,-1.51,-0.27,,,,,,
1750,-1.20,-1.63,-0.64,,,,,,
1751,-1.42,-1.80,-0.88,,,,,,
1752,-1.38,-1.91,-0.68,,,,,,
1753,-0.97,-1.64,-0.18,,,,,,
1754,-1.17,-1.83,-0.45,,,,,,
1755,-0.83,-1.50,-0.07,,,,,,
1756,-0.91,-1.58,-0.30,,,,,,
1757,-0.60,-1.17,0.07,,,,,,
1758,-0.74,-1.39,0.06,,,,,,
1759,-0.95,-1.59,-0.31,,,,,,
1760,-0.44,-1.12,0.24,,,,,,
1761,-0.95,-1.58,-0.37,,,,,,
1762,0.07,-0.48,0.60,,,,,,
1763,-0.55,-1.13,0.13,,,,,,
1764,-0.52,-1.07,0.09,,,,,,
1765,-0.65,-1.27,-0.10,,,,,,
1766,-0.63,-1.28,0.06,,,,,,
1767,-1.03,-1.56,-0.43,,,,,,
1768,-1.19,-1.61,-0.66,,,,,,
1769,-0.88,-1.48,-0.18,,,,,,
1770,-1.30,-1.87,-0.63,,,,,,
1771,-1.10,-1.59,-0.51,,,,,,
1772,-0.71,-1.27,-0.07,,,,,,
1773,-1.04,-1.53,-0.41,,,,,,
1774,-0.45,-0.97,0.03,,,,,,
1775,-0.21,-0.84,0.38,,,,,,
1776,-0.94,-1.44,-0.41,,,,,,
1777,-0.93,-1.41,-0.39,,,,,,
1778,-1.09,-1.70,-0.51,,,,,,
1779,-1.36,-1.92,-0.82,,,,,,
1780,-0.94,-1.59,-0.33,,,,,,
1781,-1.51,-2.05,-0.90,,,,,,
1782,-0.43,-1.07,0.22,,,,,,
1783,-1.57,-2.08,-0.86,,,,,,
1784,-0.71,-1.32,-0.13,,,,,,
1785,-0.23,-0.82,0.28,,,,,,
1786,-1.31,-1.74,-0.76,,,,,,
1787,-1.13,-1.79,-0.28,,,,,,
1788,-1.18,-1.80,-0.42,,,,,,
1789,-1.09,-1.61,-0.43,,,,,,
1790,-1.01,-1.73,-0.20,,,,,,
1791,-1.07,-1.59,-0.42,,,,,,
1792,-0.79,-1.30,-0.19,,,,,,
1793,-1.00,-1.57,-0.32,,,,,,
1794,-1.12,-1.69,-0.41,,,,,,
1795,-0.97,-1.46,-0.38,,,,,,
1796,-1.14,-1.69,-0.51,,,,,,
1797,-1.02,-1.53,-0.38,,,,,,
1798,-1.23,-1.67,-0.69,,,,,,
1799,-1.12,-1.54,-0.55,,,,,,
1800,-0.97,-1.61,-0.15,,,,,,
1801,-1.14,-1.62,-0.60,,,,,,
1802,-1.12,-1.62,-0.57,,,,,,
1803,-1.55,-2.16,-0.77,,,,,,
