Year AD,Temperature (deg C anomaly wrt 1961-1990),2 sigma unc. low,2 sigma unc. high,,Bin Center (AD),Temperature (deg C anomaly wrt 1961-1990),,Bin Center (AD),Temperature (deg C anomaly wrt 1961-1990)
217,-0.43,-1.33,0.53,,,,,,
218,-1.06,-1.94,-0.06,,,,,,
219,-0.60,-1.63,0.68,,,,,,
220,-0.87,-1.85,0.34,,,,,,
221,-0.69,-1.64,0.50,,,,,,
222,-0.49,-1.50,0.63,,,,,,
223,-0.19,-1.17,1.04,,,,,,
224,-1.19,-2.02,-0.31,,,,,,
225,-0.66,-1.74,0.48,,,,,,
226,-0.30,-1.20,0.57,,,,,,
227,-0.64,-1.31,0.07,,,,,,
228,-1.25,-2.25,-0.08,,,,,,
229,0.37,-0.53,1.32,,,,,,
230,-0.98,-1.89,0.14,,,,,,
231,-0.17,-1.23,0.90,,,,,,
232,-0.39,-1.15,0.60,,,,,,
233,-0.50,-1.38,0.51,,,,,,
234,-0.38,-1.15,0.47,,,,,,
235,-0.85,-1.66,-0.06,,,,,,
236,-0.78,-1.74,0.41,,,,,,
237,-0.65,-1.70,0.69,,,,,,
238,-0.16,-1.00,0.84,,,,,,
239,-0.13,-1.39,1.38,,,,,,
240,-0.65,-1.68,0.32,,,,,,
241,-0.23,-1.24,1.02,,,,,,
242,-0.13,-1.05,0.94,,,,,,
243,-0.59,-1.43,0.23,,,,,,
244,0.30,-0.68,1.09,,,,,,
245,-0.49,-1.48,0.52,,,,,,
246,0.10,-0.90,1.02,,,,,,
247,-0.10,-1.25,0.94,,,,,,
248,0.37,-0.55,1.17,,,,,,
249,-0.01,-1.01,1.01,,,,,,
250,0.05,-0.90,1.03,,,,,,
251,-0.37,-1.26,0.59,,,,,,
252,0.62,-0.31,1.58,,,,,,
253,0.47,-0.37,1.32,,,,,,
254,-0.41,-1.43,1.11,,,,,,
255,0.23,-0.84,1.47,,,,,,
256,0.66,-0.31,1.84,,,,,,
257,-0.59,-1.45,0.32,,,,,,
258,-0.23,-1.63,1.15,,,,,,
259,0.00,-0.89,0.88,,,,,,
260,-0.16,-1.27,1.09,,,,,,
261,0.06,-1.01,1.32,,,,,,
262,0.74,-0.09,1.54,,,,,,
263,0.26,-0.59,1.07,,,,,,
264,-0.50,-1.56,0.43,,,,,,
265,-0.81,-1.70,0.07,,,,,,
266,0.10,-1.11,1.39,,,,,,
267,-0.17,-0.95,0.84,,,,,,
268,-0.92,-1.91,0.40,,,,,,
269,-0.61,-1.53,0.29,,,,,,
270,0.18,-0.95,1.34,,,,,,
271,-0.57,-1.45,0.47,,,,,,
272,0.21,-0.49,1.12,,,,,,
273,-0.50,-1.32,0.42,,,,,,
274,-0.82,-1.90,0.52,,,,,,
275,-0.12,-1.20,1.38,,,,,,
276,-0.85,-1.81,0.34,,,,,,
277,-0.77,-1.54,0.25,,,,,,
278,-0.80,-1.79,0.21,,,,,,
279,-0.23,-1.22,1.03,,,,,,
280,-0.12,-1.04,0.90,,,,,,
