Year,B18_12,B21_12,B23_12,B26_12,NGRIP_12,B16,B18,B21,B26,B29,NEEM
1775,,,,,,156,74,119,161,149,185
1774,,,,,,92,101,101,180,144,217
1773,,,,,,202,83,110,117,122,175
1772,,,,,,138,110,119,228,131,207
1771,,,,,,110,83,74,141,149,207
1770,,,,,,129,64,101,146,113,238
1769,,,,,,129,83,74,215,188,207
1768,,,,,,165,83,156,211,136,311
1767,,,,,,110,147,83,199,101,177
1766,,,,,,101,156,129,205,180,218
1765,,,,,,46,92,55,147,119,208
1764,,,,,,129,55,55,119,164,177
1763,,,,,,101,101,110,90,167,261
1762,,,,,,119,64,110,150,116,188
1761,,,,,,119,83,138,90,125,157
1760,,,,,,156,101,138,212,127,251
1759,,,,,,74,74,101,172,146,188
1758,,,,,,138,101,92,216,168,241
1757,,,,,,175,92,110,149,152,178
1756,,,,,,92,64,129,142,87,147
1755,,,,,,119,83,110,119,142,200
1754,,,,,,110,129,64,141,95,210
1753,,,,,,156,129,64,159,178,263
1752,,,,,,129,101,119,143,201,263
1751,,,,,,110,83,119,159,183,243
1750,,,,,,119,55,64,236,131,211
1749,,,,,,138,110,83,218,100,148
1748,,,,,,147,64,64,106,178,222
1747,,,,,,129,92,119,159,119,233
1746,,,,,,129,138,92,188,145,148
1745,,,,,,138,55,92,136,200,223
1744,,,,,,110,92,101,160,114,191
1743,,,,,,129,64,110,205,104,191
1742,,,,,,211,110,46,130,133,213
1741,,,,,,101,110,138,197,117,234
1740,,,,,,119,119,74,238,161,192
1739,,,,,,184,83,175,181,130,214
1738,,,,,,211,101,101,175,170,171
1737,,,,,,156,119,101,144,114,257
1736,,,,,,119,55,138,175,115,214
1735,,,,,,156,92,175,145,117,172
1734,,,,,,119,92,74,230,83,279
1733,,,,,,165,129,101,205,136,215
1732,,,,,,110,119,138,137,174,151
1731,,,,,,110,55,74,153,70,237
1730,,,,,,147,101,110,169,103,216
1729,,,,,,138,129,83,162,151,194
1728,,,,,,138,156,92,200,131,216
1727,,,,,,138,119,165,146,182,216
1726,,,,,,184,165,55,176,116,195
1725,,,,,,110,165,138,185,135,238
1724,,,,,,147,101,156,162,163,
1723,,,,,,156,211,129,161,129,
1722,,,,,,129,64,101,132,89,
1721,,,,,,83,138,110,155,196,
1720,,,,,,147,74,110,147,85,
1719,,,,,,119,119,64,171,136,
1718,,,,,,138,92,147,139,107,
1717,,,,,,184,64,119,201,135,
1716,,,,,,92,110,92,132,151,
1715,,,,,,92,74,138,124,184,
1714,,,,,,129,129,92,217,128,
1713,,,,,,129,101,83,177,103,
1712,,,,,,74,110,74,93,148,
1711,,,,,,92,110,64,147,159,
1710,,,,,,147,74,61,140,140,
1709,,,,,,147,55,63,179,127,
1708,,,,,,184,119,80,117,133,
1707,,,,,,92,101,67,141,148,
1706,,,,,,184,92,96,164,91,
1705,,,,,,92,74,83,164,96,
1704,,,,,,101,110,110,118,131,
1703,,,,,,110,92,122,157,161,
1702,,,,,,129,55,82,141,87,
1701,,,,,,175,37,46,94,165,
1700,,,,,,83,55,82,157,146,
1699,,,,,,156,55,70,147,99,
1698,,,,,,138,119,46,141,154,
1697,,,,,,138,110,77,172,119,
1696,,,,,,110,103,64,125,157,
1695,,,,,,138,75,73,155,123,
1694,,,,,,138,125,83,125,147,
1693,,,,,,138,104,117,188,168,
1692,,,,,,138,112,90,141,207,
1691,,,,,,248,75,128,165,114,
1690,,,,,,119,60,77,188,153,
1689,,,,,,175,92,109,149,130,
1688,,,,,,119,75,73,141,152,
1687,,,,,,119,85,109,94,101,
1686,,,,,,165,67,78,158,105,
1685,,,,,,110,71,103,158,112,
1684,,,,,,147,129,85,126,143,
1683,,,,,,129,115,124,220,167,
1682,,,,,,156,93,96,181,159,
1681,,,,,,147,59,82,150,134,
1680,,,,,,129,117,76,197,163,
1679,,,,,,175,69,123,167,130,
1678,,,,,,101,111,132,213,148,
1677,,,,,,101,68,115,127,149,
1676,,,,,,184,109,118,135,118,
1675,,,,,,119,88,98,270,165,
1674,,,,,,165,63,102,270,142,
