B21_2012 depth (m) center	B21_2012 d18O (permil)
7.509839617	-37.468498
7.529839617	-36.980999
7.549839617	-36.5765
7.569839617	-36.028748
7.589839617	-35.318748
7.609839617	-34.763748
7.629839617	-33.96175
7.649839617	-33.428001
7.669839617	-33.0765
7.689839617	-32.403
7.709839617	-32.08625
7.729839617	-31.61425
7.749839617	-31.515751
7.769839617	-31.5665
7.789839617	-31.681499
7.809839617	-31.742001
7.829839617	-31.992001
7.849839617	-32.034748
7.869839617	-32.056751
7.889839617	-32.095497
7.909839617	-31.970249
7.929839617	-31.7815
7.949839617	-31.67
7.969839617	-31.544001
7.989839617	-31.3685
8.009839617	-31.403
8.029839617	-31.519751
8.049839617	-31.93375
8.069839617	-32.28125
8.089839617	-32.621002
8.109839617	-33.206749
8.129839617	-33.564003
8.149839617	-34.1605
8.169839617	-34.346252
8.189839617	-34.904499
8.209839617	-35.04425
8.229839617	-34.917999
8.249839617	-34.848251
8.269839617	-34.3885
8.289839617	-34.206749
8.309839617	-34.088001
8.329839617	-33.730999
8.349839617	-33.422749
8.369839617	-33.11475
8.389839617	-32.5075
8.409839617	-32.42025
8.429839617	-32.078247
8.449839617	-31.960251
8.469839617	-31.67275
8.489839617	-31.566
8.509839617	-31.60775
8.529839617	-31.895
8.549839617	-32.110748
8.569839617	-32.141499
8.589839617	-32.44825
8.609839617	-32.780251
8.629839617	-32.87825
8.649839617	-32.98175
8.669839617	-33.253002
8.689839617	-33.076752
8.709839617	-33.047501
8.729839617	-33.144249
8.749839617	-33.100502
8.769839617	-33.221249
8.789839617	-33.227249
8.809839617	-33.65625
8.829839617	-33.639248
8.849839617	-34.063499
8.869839617	-34.089752
8.889839617	-34.174999
8.909839617	-34.695251
8.929839617	-34.717751
8.949839617	-35.150501
8.969839617	-35.708252
8.989839617	-36.0835
9.009839617	-36.96875
9.029839617	-36.929001
9.049839617	-36.852501
9.069839617	-36.732002
9.089839617	-36.299
9.109839617	-35.98925
9.129839617	-35.511497
9.149839617	-34.02
9.169839617	-33.375999
9.189839617	-33.633499
9.209839617	-33.065247
9.229839617	-31.57675
9.249839617	-31.543251
9.269839617	-30.924
9.289839617	-31.73525
9.309839617	-31.55625
9.329839617	-31.71875
9.349839617	-31.993248
9.369839617	-32.223499
9.389839617	-32.456497
9.409839617	-32.675499
9.429839617	-32.960751
9.449839617	-33.054749
9.469839617	-33.118752
9.489839617	-33.068748
9.509839617	-32.8825
9.529839617	-33.021248
9.549839617	-32.814999
9.569839617	-32.628998
9.589839617	-32.581249
